text_input,output
ถ้าพนักงานทำรหัสผ่านหลุดออกไปให้ผู้อื่นรู้จะมีผลอย่างไร?,อาจทำให้บุคคลอื่นที่ไม่ได้รับอนุญาตเข้าถึงระบบและข้อมูลของบริษัท ส่งผลต่อความปลอดภัย
การจัดทำมาตรการเกี่ยวกับการพิสูจน์ตัวตนมีจุดประสงค์อะไร?,มีจุดประสงค์เพื่อยืนยันตัวตนของผู้ใช้งานให้แน่ชัด ลดโอกาสในการเข้าถึงระบบโดยผู้ไม่มีสิทธิ์
การอธิบายขอบเขตนโยบายนี้ให้ชัดเจนมีผลอะไร?,ทำให้ผู้ใช้งานทุกกลุ่มเข้าใจหน้าที่ ข้อปฏิบัติ และสิทธิ์ในการใช้งานระบบสารสนเทศได้ชัดเจน
วัตถุประสงค์ข้อใดกล่าวถึงการป้องกันระบบคอมพิวเตอร์และข้อมูลไม่ให้ถูกบุกรุก?,วัตถุประสงค์ข้อ 4 กล่าวถึงการป้องกันไม่ให้ระบบคอมพิวเตอร์และข้อมูลของบริษัทถูกบุกรุก ขโมย ทำลาย หรือโจรกรรม
ผู้ใช้งานมีส่วนร่วมในการรักษาความปลอดภัยอย่างไร?,ผู้ใช้งานมีส่วนร่วมโดยปฏิบัติตามนโยบาย รักษาความลับของบัญชีผู้ใช้งาน และรายงานปัญหาความปลอดภัยเมื่อพบ
การรักษาความปลอดภัยต้องดำเนินไปอย่างไร?,ต้องดำเนินไปอย่างต่อเนื่อง มีจิตสำนึกและความรับผิดชอบจากทุกฝ่าย
นโยบายนี้เน้นการมีส่วนร่วมของใคร?,เน้นการมีส่วนร่วมของพนักงานและบุคคลภายนอกที่ใช้งานระบบสารสนเทศให้รับผิดชอบร่วมกัน
หากพบภัยคุกคามหรือการโจมตีระบบ ผู้ใช้งานควรทำอย่างไร?,ผู้ใช้งานควรแจ้งผู้ดูแลระบบหรือหน่วยงานที่เกี่ยวข้องโดยทันที
การรับรู้หน้าที่และความรับผิดชอบในการใช้งานระบบสารสนเทศช่วยอะไร?,ช่วยให้ผู้ใช้งานใช้ระบบอย่างปลอดภัย ลดความเสี่ยงในการเกิดเหตุไม่พึงประสงค์
นโยบายนี้ครอบคลุมการใช้งานอุปกรณ์พกพาหรือไม่?,ครอบคลุม รวมถึงคอมพิวเตอร์แบบพกพา และอุปกรณ์สื่อสารแบบพกพาอื่น ๆ
การปฏิบัติตามนโยบายนี้อย่างเคร่งครัดมีผลต่อภาพลักษณ์ของบริษัทอย่างไร?,เพิ่มความน่าเชื่อถือในความปลอดภัยของข้อมูลและระบบ ตลอดจนเสริมสร้างภาพลักษณ์ที่ดีของบริษัท
การใช้ระบบสารสนเทศอย่างเหมาะสมช่วยอะไร?,ช่วยให้การดำเนินงานราบรื่น ประหยัดเวลา เพิ่มประสิทธิภาพ และป้องกันปัญหาด้านความปลอดภัย
มาตรการการพิสูจน์ตัวตนมีหน้าที่อะไร?,มีหน้าที่ตรวจสอบความถูกต้องของหลักฐานแสดงตัวตน เพื่อให้แน่ใจว่าผู้ใช้งานเป็นบุคคลที่อ้างอิงจริง
เมื่อมีการเปลี่ยนแปลงนโยบาย ผู้ใช้งานควรทำอย่างไร?,ควรติดตามประกาศปรับปรุงนโยบายและปฏิบัติตามข้อกำหนดใหม่อย่างเคร่งครัด
นโยบายนี้ส่งเสริมการใช้งานระบบสารสนเทศแบบใด?,ส่งเสริมการใช้งานที่ปลอดภัย ถูกต้อง และเหมาะสม สอดคล้องกับทิศทางธุรกิจและกฎหมาย
การแจ้งขอสิทธิ์ในการเข้าระบบต้องทำอย่างไร?,ต้องแจ้งขอเป็นลายลักษณ์อักษรและได้รับอนุมัติจากผู้บังคับบัญชาหรือหน่วยงานที่เกี่ยวข้อง
นโยบายนี้ส่งผลอย่างไรต่อการป้องกันการโจรกรรมข้อมูล?,ช่วยกำหนดหลักปฏิบัติและมาตรการรักษาความปลอดภัย เพื่อลดโอกาสการโจรกรรมข้อมูล
หากพนักงานไม่ปฏิบัติตามนโยบายอาจส่งผลอย่างไรต่อบริษัท?,อาจทำให้ระบบคอมพิวเตอร์และข้อมูลได้รับความเสียหาย สูญหาย หรือถูกบุกรุก ส่งผลกระทบต่อธุรกิจ
ความเข้าใจในขั้นตอนการปฏิบัติงานด้านความปลอดภัยมีผลอย่างไร?,มีผลให้พนักงานสามารถทำงานได้อย่างปลอดภัยและลดความเสี่ยงจากความผิดพลาด
นโยบายนี้มีการกำหนดวิธีการใดเพื่อให้ผู้ใช้งานเข้าถึงระบบจากภายนอก?,มีการกำหนดให้ใช้งาน VPN ในการเข้าถึงระบบสารสนเทศจากระยะไกลตามข้อกำหนดความปลอดภัย
การปฏิบัติตามมาตรฐานและคำแนะนำต่าง ๆ ช่วยอะไร?,ช่วยให้ผู้ใช้งานปฏิบัติตามกฎหมาย นโยบาย และมาตรฐานที่กำหนด ลดความเสี่ยงด้านความปลอดภัย
หากพนักงานต้องการขอชื่อบัญชีผู้ใช้งานใหม่ต้องทำอย่างไร?,ต้องขอเป็นลายลักษณ์อักษรและได้รับอนุมัติจากผู้บังคับบัญชาหรือหน่วยงานที่เกี่ยวข้อง
นโยบายนี้ส่งเสริมให้พนักงานมีจิตสำนึกเรื่องใด?,ส่งเสริมให้พนักงานมีจิตสำนึกรู้จักหน้าที่และความรับผิดชอบด้านความปลอดภัยของระบบสารสนเทศ
ทำไมการจำกัดการเข้าถึงระบบจึงสำคัญ?,เพราะการจำกัดการเข้าถึงระบบเฉพาะผู้ที่ได้รับอนุญาตช่วยลดความเสี่ยงจากการโจมตีหรือการใช้บัญชีโดยไม่ได้รับอนุญาต
นโยบายนี้ใช้กับระบบประเภทใดบ้าง?,ใช้กับระบบเทคโนโลยีสารสนเทศของบริษัท รวมถึงเครือข่ายคอมพิวเตอร์ เครื่องคอมพิวเตอร์ และอุปกรณ์พกพาที่เชื่อมต่อระบบ
วัตถุประสงค์ข้อไหนเน้นให้พนักงานเข้าใจกฎหมายที่เกี่ยวข้อง?,วัตถุประสงค์ข้อ 2 เน้นให้พนักงานมีความรู้ความเข้าใจในกฎหมายที่เกี่ยวข้องกับระบบคอมพิวเตอร์
นโยบายนี้มีจุดมุ่งหมายให้ระบบคอมพิวเตอร์ของบริษัทเป็นอย่างไร?,มีจุดมุ่งหมายให้ระบบคอมพิวเตอร์ของบริษัทใช้งานได้อย่างเหมาะสม ถูกต้อง และมีความปลอดภัย
การดำเนินการตามนโยบายนี้ต้องอาศัยการมีส่วนร่วมจากใคร?,ต้องอาศัยการมีส่วนร่วมจากพนักงาน บุคคลภายนอกที่ได้รับอนุญาต และหน่วยงานที่เกี่ยวข้องกับระบบสารสนเทศ
การให้ความรู้ด้านความปลอดภัยแก่พนักงานมีผลอะไรต่อการปฏิบัติงาน?,ทำให้พนักงานปฏิบัติงานได้อย่างถูกต้อง ปลอดภัย และลดความเสี่ยงจากการละเมิดความปลอดภัย
เหตุใดจึงต้องมีกระบวนการขอและอนุมัติเป็นลายลักษณ์อักษรในการขอสิทธิ์เข้าระบบ?,เพื่อควบคุมและตรวจสอบการให้สิทธิ์เข้าถึงระบบคอมพิวเตอร์อย่างเป็นระเบียบและปลอดภัย
การเก็บบันทึกประวัติการเปลี่ยนแปลงนโยบายมีประโยชน์อย่างไร?,ช่วยให้สามารถติดตามตรวจสอบการปรับปรุง เพิ่มเติม หรือเปลี่ยนแปลงนโยบายได้อย่างสะดวก
นโยบายนี้เน้นการป้องกันปัญหาจากการใช้งานระบบอย่างไร?,เน้นให้ใช้งานอย่างถูกต้อง เหมาะสม ตามมาตรฐานและข้อกำหนดที่กำหนดไว้
ผู้ใช้งานควรรับรู้มาตรการด้านความปลอดภัยเพื่ออะไร?,เพื่อให้สามารถปฏิบัติตามได้อย่างถูกต้อง ลดความเสี่ยงต่อความปลอดภัยข้อมูล
หากเกิดเหตุบุกรุกข้อมูลควรทำอย่างไร?,ควรแจ้งผู้ดูแลระบบหรือหน่วยงานที่เกี่ยวข้องทันทีเพื่อดำเนินการแก้ไขและป้องกันความเสียหายเพิ่มเติม
การพิสูจน์ตัวตนช่วยป้องกันความเสี่ยงใด?,ช่วยป้องกันความเสี่ยงจากการเข้าถึงระบบโดยบุคคลที่ไม่ได้รับอนุญาตหรือใช้บัญชีปลอม
นโยบายนี้ต้องการให้ผู้ใช้งานปฏิบัติตามอะไรเป็นหลัก?,ให้ปฏิบัติตามนโยบาย มาตรฐาน กรอบการดำเนินงาน ขั้นตอน คำแนะนำ และกฎหมายที่เกี่ยวข้อง
การมีบัญชีผู้ใช้งานส่วนบุคคลมีข้อดีอย่างไร?,ช่วยระบุและควบคุมการเข้าถึงระบบตามสิทธิ์ของแต่ละบุคคล ลดความเสี่ยงจากการใช้บัญชีร่วมกัน
ทำไมการรักษารหัสผ่านจึงสำคัญ?,เพราะรหัสผ่านคือกุญแจสู่ระบบ หากรั่วไหลอาจทำให้ข้อมูลและระบบถูกโจรกรรมหรือเสียหาย
นโยบายนี้มีส่วนช่วยลดความเสี่ยงด้านใด?,ช่วยลดความเสี่ยงด้านความปลอดภัยของข้อมูลและระบบเทคโนโลยีสารสนเทศ
ผู้ใช้งานควรหลีกเลี่ยงการกระทำใดบ้างเกี่ยวกับบัญชีผู้ใช้งาน?,ควรหลีกเลี่ยงการเผยแพร่ แจกจ่ายรหัสผ่าน และการใช้บัญชีผู้ใช้งานร่วมกับผู้อื่น
การกำหนดนโยบายที่ชัดเจนมีผลอย่างไรต่อบริษัท?,ทำให้ทุกคนเข้าใจหน้าที่และความรับผิดชอบ เพิ่มประสิทธิภาพความปลอดภัย และลดความเสี่ยงต่อระบบ
การปฏิบัติตามนโยบายนี้ช่วยสนับสนุนการทำงานแบบใด?,สนับสนุนการทำงานอย่างมีประสิทธิภาพ ปลอดภัย และถูกต้องตามกฎหมาย
ทำไมนโยบายจึงอ้างอิงพระราชบัญญัติคอมพิวเตอร์?,เพื่อให้การปฏิบัติตามนโยบายเป็นไปตามกฎหมาย ลดความเสี่ยงจากการกระทำผิดกฎหมาย
การบริหารและปฏิบัติเพื่อความปลอดภัยเป็นกระบวนการแบบใด?,เป็นกระบวนการที่ต้องดำเนินอย่างต่อเนื่องและสม่ำเสมอ
การเข้าใจขอบเขตของนโยบายช่วยอะไร?,ช่วยให้ผู้ใช้งานทราบว่าใครและอะไรบ้างที่อยู่ภายใต้นโยบาย ทำให้ปฏิบัติตามได้อย่างถูกต้อง
วัตถุประสงค์ข้อใดช่วยเพิ่มประสิทธิภาพในการทำงาน?,วัตถุประสงค์ที่กล่าวถึงการใช้งานระบบเทคโนโลยีสารสนเทศเพื่อความสะดวกและประสิทธิภาพในการทำงาน
นโยบายนี้ออกแบบมาเพื่อจัดการความเสี่ยงใด?,จัดการความเสี่ยงที่เกี่ยวข้องกับการใช้งานระบบเทคโนโลยีสารสนเทศ เช่น ภัยคุกคาม การบุกรุกข้อมูล และการใช้งานไม่ถูกต้อง
การใช้อุปกรณ์พกพาต้องปฏิบัติตามอะไร?,ต้องปฏิบัติตามนโยบายและข้อกำหนดด้านความปลอดภัยในการเชื่อมต่อระบบสารสนเทศของบริษัท
การกำหนดชื่อบัญชีและรหัสผ่านเฉพาะบุคคลช่วยอะไร?,ช่วยระบุผู้ใช้งานแต่ละคนได้ชัดเจน ควบคุมสิทธิ์การเข้าถึง และป้องกันการใช้บัญชีร่วมกัน
ข้อมูลสามารถบันทึกในรูปแบบใดได้บ้าง?,ข้อมูลสามารถบันทึกในรูปแบบเอกสาร ไฟล์ภาพ ไฟล์เสียง วิดีโอ หรือรูปแบบดิจิทัลอื่น ๆ
นโยบายนี้สนับสนุนการดำเนินงานตามแนวทางปฏิบัติใด?,สนับสนุนการดำเนินงานตามนโยบาย มาตรฐาน และกฎหมายที่เกี่ยวข้องกับระบบสารสนเทศ
ทำไมการให้พนักงานเข้าใจข้อปฏิบัติจึงสำคัญ?,เพราะถ้าพนักงานเข้าใจและปฏิบัติตาม จะช่วยลดความเสี่ยง ลดความผิดพลาด และเสริมความปลอดภัยต่อระบบ
การจำกัดสิทธิ์และการเข้าถึงข้อมูลช่วยลดความเสี่ยงอย่างไร?,ช่วยป้องกันไม่ให้ผู้ไม่มีสิทธิ์เข้าถึงข้อมูลสำคัญ ลดโอกาสการรั่วไหลหรือโจรกรรมข้อมูล
ผู้ใช้งานต้องใช้บัญชีผู้ใช้งานอย่างไร?,ต้องใช้บัญชีของตนเองเท่านั้น ไม่แชร์หรือเผยแพร่รหัสผ่านให้ผู้อื่น
นโยบายนี้ช่วยในด้านการป้องกันระบบจากภัยคุกคามอย่างไร?,โดยกำหนดหลักปฏิบัติและมาตรฐานความปลอดภัย ช่วยให้ผู้ใช้งานปฏิบัติตาม ลดโอกาสที่ระบบจะถูกโจมตี
การให้ความรู้แก่พนักงานเกี่ยวกับข้อกำหนดความปลอดภัยควรทำเมื่อใด?,ควรทำอย่างต่อเนื่องและสม่ำเสมอ ตลอดเวลาที่มีการปรับปรุงหรือเปลี่ยนแปลงนโยบาย
ผู้ดูแลระบบมีหน้าที่ใด?,มีหน้าที่ดูแลเครือข่ายคอมพิวเตอร์และระบบ ให้ปลอดภัย เสถียร และพร้อมใช้งาน
นโยบายนี้มีจุดประสงค์ให้ผู้ใช้งานปฏิบัติตามสิ่งใดบ้าง?,ให้ปฏิบัติตามนโยบาย มาตรฐาน กรอบการดำเนินงาน ขั้นตอนการปฏิบัติงาน คำแนะนำ และกฎหมายที่เกี่ยวข้อง
ทำไมการมีบันทึกประวัติการเปลี่ยนแปลงนโยบายจึงเป็นเรื่องดี?,เพื่อให้สามารถติดตามการพัฒนาและปรับปรุงนโยบายได้ง่ายขึ้น และรู้ว่าเปลี่ยนแปลงอะไรไปบ้าง
หากต้องเชื่อมต่ออุปกรณ์พกพากับเครือข่ายคอมพิวเตอร์ของบริษัท ต้องคำนึงถึงอะไร?,ต้องคำนึงถึงข้อกำหนดและนโยบายความปลอดภัยในการเชื่อมต่ออุปกรณ์พกพาเข้ากับระบบของบริษัท
นโยบายนี้ส่งเสริมอะไรในด้านการใช้งานเทคโนโลยีสารสนเทศ?,ส่งเสริมการใช้งานที่ถูกต้อง ปลอดภัย มีประสิทธิภาพ และสอดคล้องกับธุรกิจและกฎหมาย
การกำหนดรหัสผ่านเป็นมาตรการพื้นฐานด้านใด?,เป็นมาตรการพื้นฐานด้านการรักษาความปลอดภัยของข้อมูลและระบบคอมพิวเตอร์
นโยบายนี้มีผลอย่างไรต่อความเชื่อมั่นของลูกค้า?,เมื่อระบบปลอดภัยและผู้ใช้งานปฏิบัติตามข้อกำหนด ลูกค้าจะมีความเชื่อมั่นในความปลอดภัยของข้อมูลและบริการของบริษัท
ผู้ใช้งานควรทำอย่างไรหากสงสัยว่าบัญชีถูกละเมิด?,ควรแจ้งผู้ดูแลระบบหรือหน่วยงานที่เกี่ยวข้องทันทีเพื่อดำเนินการตรวจสอบและป้องกันความเสียหาย
นโยบายนี้มีจุดมุ่งหมายให้เกิดอะไรกับระบบเทคโนโลยีสารสนเทศ?,มีจุดมุ่งหมายให้ระบบมีความมั่นคงปลอดภัย ลดความเสี่ยงต่อการโจมตีและการรั่วไหลของข้อมูล
ผู้ใช้งานสามารถใช้ข้อมูลเพื่อวัตถุประสงค์ใด?,สามารถใช้ข้อมูลเพื่อวัตถุประสงค์ทางธุรกิจและการดำเนินงานของบริษัท ตามที่กำหนดในนโยบายและมาตรการความปลอดภัย
ทำไมนโยบายนี้จึงครอบคลุมถึงบุคคลภายนอก?,เพราะบุคคลภายนอกที่ได้รับอนุญาตอาจเข้าถึงระบบคอมพิวเตอร์ของบริษัท ซึ่งต้องปฏิบัติตามข้อกำหนดด้านความปลอดภัยเช่นกัน
การให้ข้อมูลความปลอดภัยแก่พนักงานมีผลอย่างไรต่อการปฏิบัติงานประจำ?,ทำให้พนักงานสามารถปฏิบัติงานได้ถูกต้อง ปลอดภัย และลดความเสี่ยงต่อความผิดพลาดหรือการละเมิดความปลอดภัย
ความรับผิดชอบในการรักษาความปลอดภัยเป็นของใคร?,เป็นของทุกคนที่ใช้งานระบบสารสนเทศของบริษัท ไม่ว่าจะเป็นพนักงานหรือบุคคลภายนอก
นโยบายนี้กำหนดให้ผู้ใช้งานต้องระวังเรื่องใดในการใช้งานระบบ?,ต้องระวังเรื่องการเผยแพรรหัสผ่าน การใช้งานบัญชีผู้ใช้งานร่วมกับผู้อื่น และการกระทำใด ๆ ที่อาจเสี่ยงต่อความปลอดภัย
หากผู้ใช้งานไม่ปฏิบัติตามนโยบายอาจเกิดอะไรขึ้น?,อาจเกิดความเสียหายต่อระบบและข้อมูล รวมถึงความเสี่ยงทางกฎหมายหากเป็นการละเมิดพระราชบัญญัติคอมพิวเตอร์
การปรับปรุงนโยบายวันที่ 2 ก.ค. 66 เกี่ยวข้องกับการปรับปรุงข้อกำหนดด้านใด?,เกี่ยวข้องกับการปรับปรุงข้อกำหนดด้านการใช้งานระบบภายนอกผ่าน VPN
ทำไมการมีรหัสผ่านเฉพาะบุคคลจึงสำคัญ?,เพื่อระบุความรับผิดชอบของผู้ใช้งานแต่ละคนและป้องกันการใช้บัญชีผู้ใช้งานโดยไม่ได้รับอนุญาต
นโยบายนี้ช่วยสร้างความเข้าใจเรื่องใด?,ช่วยสร้างความเข้าใจในแนวทางปฏิบัติ ข้อกำหนด กฎหมาย และมาตรการด้านความปลอดภัยที่เกี่ยวข้องกับระบบคอมพิวเตอร์
หากมีการปรับปรุงนโยบาย ควรแจ้งผู้ใช้งานอย่างไร?,ควรแจ้งผู้ใช้งานด้วยวิธีการประกาศภายในองค์กรหรือตามช่องทางสื่อสารทางการของบริษัท
ผู้ใช้งานต้องปฏิบัติตามข้อกำหนดด้านสารสนเทศเกี่ยวกับรหัสผ่านอย่างไร?,ผู้ใช้งานต้องตั้งรหัสผ่านและดำเนินการใด ๆ ที่เกี่ยวข้องกับรหัสผ่านตามข้อกำหนดด้านสารสนเทศของบริษัท
ข้อกำหนดในข้อ 1.4 กล่าวถึงเรื่องใด?,ข้อกำหนดในข้อ 1.4 กล่าวถึงการที่ผู้ใช้งานต้องตั้งรหัสผ่านและปฏิบัติตามข้อกำหนดด้านสารสนเทศที่เกี่ยวข้องกับรหัสผ่าน
การบริหารจัดการทรัพย์สินตามข้อ 2.1 ผู้ใช้งานต้องหลีกเลี่ยงการทำอะไร?,ผู้ใช้งานต้องไม่คัดลอกหรือนำเสนอแฟ้มข้อมูลที่มีลิขสิทธิ์ใช้งานก่อนที่จะได้รับอนุญาต
ผู้ใช้งานต้องรับผิดชอบต่อทรัพย์สินของบริษัทอย่างไรตามข้อ 2.2?,ผู้ใช้งานต้องรับผิดชอบทรัพย์สินที่บริษัทมอบให้ใช้งานเสมือนเป็นทรัพย์สินของตนเอง และการรับหรือคืนทรัพย์สินต้องถูกบันทึกและตรวจสอบทุกครั้ง
หากทรัพย์สินที่ผู้ใช้งานใช้เกิดความเสียหายหรือสูญหาย ผู้ใช้งานต้องทำอย่างไรตามข้อ 2.3?,ผู้ใช้งานต้องชดใช้ค่าเสียหายตามมูลค่าทรัพย์สิน หากความเสียหายนั้นเกิดจากความประมาทของผู้ใช้งาน
ผู้ใช้งานสามารถให้ผู้อื่นยืม Computer หรือ Notebook ได้หรือไม่?,ห้ามให้ผู้อื่นยืม Computer หรือ Notebook ไม่ว่ากรณีใด ๆ เว้นแต่ได้รับอนุมัติเป็นลายลักษณ์อักษรจากผู้มีอำนาจ
ทรัพย์สินและระบบสารสนเทศของบริษัทมีวัตถุประสงค์อะไรตามข้อ 2.5?,ทรัพย์สินและระบบสารสนเทศที่บริษัทจัดเตรียมไว้ให้ใช้งานมีวัตถุประสงค์เพื่อการใช้งานของบริษัทเท่านั้น
ผู้ใช้งานสามารถนำทรัพย์สินหรือระบบสารสนเทศของบริษัทไปใช้ในกิจกรรมที่บริษัทไม่กำหนดได้หรือไม่?,ไม่ได้ ห้ามนำทรัพย์สินและระบบสารสนเทศไปใช้ในกิจกรรมที่บริษัทไม่กำหนดหรือก่อให้เกิดความเสียหายต่อบริษัท
หากผู้ใช้งานละเมิดข้อ 2.5 และเกิดความเสียหายจะถือเป็นอย่างไร?,ถือเป็นความผิดส่วนบุคคล และผู้ใช้งานต้องรับผิดชอบต่อความเสียหายที่เกิดขึ้น
การรับเครื่องคอมพิวเตอร์ใหม่ทดแทนเครื่องเก่าอายุ 5 ปี ต้องทำอย่างไร?,ต้องทำตามข้อกำหนดด้านสารสนเทศที่กำหนดไว้
ผู้ใช้งานต้องระมัดระวังอย่างไรในการใช้งานข้อมูลตามข้อ 3.1?,ผู้ใช้งานต้องตระหนักและระมัดระวังต่อการใช้งานข้อมูล ไม่ว่าจะเป็นข้อมูลของบริษัทหรือข้อมูลของบุคคลภายนอก
ข้อมูลใดบ้างที่ถือเป็นทรัพย์สินของบริษัทตามข้อ 3.2?,ข้อมูลทั้งหลายที่อยู่ภายในทรัพย์สินของบริษัทถือเป็นทรัพย์สินของบริษัท
ห้ามทำอะไรกับข้อมูลของบริษัทหากไม่ได้รับอนุญาตตามข้อ 3.2?,ห้ามเผยแพร่ เปลี่ยนแปลง ทำซ้ำ หรือทำลายข้อมูลของบริษัทหากไม่ได้รับอนุญาตจากผู้บังคับบัญชา
ผู้ใช้งานมีส่วนร่วมในการดูแลรักษาและรับผิดชอบข้อมูลของบริษัทอย่างไร?,ผู้ใช้งานมีส่วนร่วมในการดูแลรักษาและรับผิดชอบข้อมูลของบริษัทหรือข้อมูลของผู้รับบริการ หากเกิดความสูญหายหรือนำไปใช้ในทางที่ผิด ผู้ใช้งานต้องร่วมรับผิดชอบ
ผู้ใช้งานต้องป้องกันและรักษาสิ่งใดไว้บ้างตามข้อ 3.4?,ผู้ใช้งานต้องป้องกัน ดูแล และรักษาความลับ ความถูกต้อง และความพร้อมใช้งานของข้อมูล
ผู้ใช้งานมีสิทธิ์โดยชอบธรรมต่อข้อมูลส่วนบุคคลอย่างไรตามข้อ 3.5?,ผู้ใช้งานมีสิทธิ์โดยชอบธรรมในการเก็บ รักษา ใช้งาน และป้องกันข้อมูลส่วนบุคคลของตนเอง บริษัทจะเคารพสิทธิ์ดังกล่าวและไม่อนุญาตให้บุคคลอื่นละเมิดข้อมูลส่วนบุคคลโดยไม่ได้รับอนุญาต
ในกรณีที่บริษัทต้องการตรวจสอบข้อมูล ผู้ใช้งานจะถูกแจ้งเตือนล่วงหน้าหรือไม่?,บริษัทอาจแต่งตั้งผู้ทำหน้าที่ตรวจสอบข้อมูลได้ตลอดเวลาโดยไม่ต้องแจ้งผู้ใช้งานทราบ
ข้อ 4.1 ห้ามผู้ใช้งานทำอะไร?,ห้ามผู้ใช้งานนำเสนอข้อมูลที่ผิดกฎหมาย ละเมิดลิขสิทธิ์ แสดงข้อความ รูปภาพไม่เหมาะสม หรือขัดต่อศีลธรรมและประเพณีอันดีงามของประเทศไทย
ผู้ใช้งานสามารถใช้โปรแกรมประเภท Peer-to-Peer ได้หรือไม่ตามข้อ 4.2?,"ไม่ได้ ห้ามเปิดหรือใช้งานโปรแกรมประเภท Peer-to-Peer เช่น Bittorrent, emule เว้นแต่ได้รับอนุญาตจากผู้บังคับบัญชา"
ข้อ 4.3 ห้ามผู้ใช้งานใช้อะไรในทางที่ขัดต่อศีลธรรมและกฎหมาย?,ห้ามใช้ทรัพยากรระบบสื่อสารทุกประเภทของบริษัทเพื่อเผยแพร่ข้อมูล ข้อความ รูปภาพ หรือสิ่งอื่นใดที่ขัดต่อศีลธรรม ความมั่นคงของประเทศ กฎหมาย หรือกระทบต่อภารกิจของบริษัท
ผู้ใช้งานสามารถใช้ทรัพยากรของบริษัทเพื่อก่อความเสียหายหรือโจรกรรมข้อมูลได้หรือไม่?,ไม่ได้ ห้ามใช้ทรัพยากรระบบสื่อสารทุกประเภทเพื่อรบกวน ก่อความเสียหาย หรือโจรกรรมข้อมูล
ข้อ 4.5 ห้ามผู้ใช้งานทำสิ่งใดเกี่ยวกับทรัพยากรของบริษัท?,ห้ามใช้ทรัพยากรของบริษัทเพื่อประโยชน์ทางการค้าส่วนตัว
การดักข้อมูลในเครือข่ายสารสนเทศของบริษัทได้รับอนุญาตหรือไม่?,ไม่ได้ ห้ามทำการดักข้อมูลไม่ว่าจะเป็นข้อความ ภาพ เสียง หรือสิ่งอื่นใดในเครือข่ายสารสนเทศของบริษัท
ผู้ใช้งานสามารถกระทำการใด ๆ ที่ทำให้ระบบสารสนเทศของบริษัทหยุดชะงักได้หรือไม่?,ไม่ได้ ห้ามกระทำการใด ๆ เพื่อรบกวน ทำลาย หรือทำให้ระบบสารสนเทศของบริษัทต้องหยุดชะงัก
การควบคุมคอมพิวเตอร์หรือระบบสารสนเทศภายนอกโดยไม่ได้รับอนุญาตทำได้หรือไม่?,ไม่ได้ ห้ามใช้ระบบสารสนเทศของบริษัทเพื่อควบคุมคอมพิวเตอร์หรือระบบสารสนเทศภายนอกโดยไม่ได้รับอนุญาต
หากผู้ใช้งานลักลอบใช้รหัสส่วนบุคคลของผู้อื่นจะถือเป็นอย่างไร?,ถือเป็นการกระทำที่ห้ามเด็ดขาด ผู้ใช้งานต้องไม่ลักลอบใช้หรือรับรู้รหัสส่วนบุคคลของผู้อื่นไม่ว่ากรณีใด ๆ
การติดตั้งอุปกรณ์หรือกระทำเพื่อเข้าถึงระบบสารสนเทศของบริษัทโดยไม่อนุญาตเป็นอย่างไร?,เป็นการห้ามกระทำโดยเด็ดขาด ผู้ใช้งานห้ามติดตั้งอุปกรณ์หรือกระทำการใดเพื่อเข้าถึงระบบสารสนเทศของบริษัทโดยไม่ได้รับอนุญาต
ข้อ 5 ระบุว่าผู้ใช้งานต้องปฏิบัติตามอะไร?,ผู้ใช้งานต้องปฏิบัติตามกฎหมายในประเทศไทยและกฎระเบียบของบริษัทอย่างเคร่งครัด
หากผู้ใช้งานกระทำผิดกฎหมายตามข้อ 5 ใครต้องรับผิดชอบ?,ผู้ใช้งานต้องรับผิดชอบต่อความผิดที่เกิดขึ้นเอง ถือเป็นความผิดส่วนบุคคล
ข้อ 6.1 กล่าวถึงความสำคัญของอะไร?,ข้อ 6.1 กล่าวถึงความสำคัญของทรัพย์สินทางปัญญาและลิขสิทธิ์ซอฟต์แวร์
ผู้ใช้งานสามารถติดตั้งหรือใช้ซอฟต์แวร์ที่ไม่มีลิขสิทธิ์ได้หรือไม่?,ไม่ได้ หากตรวจสอบพบว่าละเมิดลิขสิทธิ์ บริษัทถือเป็นความผิดส่วนบุคคล ผู้ใช้งานต้องรับผิดชอบแต่เพียงผู้เดียว
ซอฟต์แวร์ที่บริษัทจัดเตรียมให้ถือเป็นอะไร?,ซอฟต์แวร์ที่บริษัทจัดเตรียมให้ถือเป็นสิ่งจำเป็นต่อการทำงาน ผู้ใช้งานห้ามติดตั้ง ถอดถอน เปลี่ยนแปลง แก้ไข หรือทำสำเนาเพื่อนำไปใช้งานที่อื่น
ผู้ใช้งานต้องตรวจสอบอะไรบ้างเกี่ยวกับซอฟต์แวร์ที่ใช้งานตามข้อ 6.3?,ผู้ใช้งานต้องตรวจสอบความถูกต้องของซอฟต์แวร์ที่ใช้งาน รวมถึงข้อตกลงและขอบเขตในการใช้งานเครื่องคอมพิวเตอร์ของบริษัทในแบบฟอร์มรับเครื่องคอมพิวเตอร์และซอฟต์แวร์ลิขสิทธิ์ทุกครั้งก่อนเซ็นรับ
ข้อ 7.1 กล่าวถึงการใช้ซอฟต์แวร์ประเภทใด?,ข้อ 7.1 กล่าวถึงการใช้ซอฟต์แวร์ที่มีการจัดการและป้องกันมัลแวร์ (โปรแกรมไม่ประสงค์ดี)
